,Scheme Code,Scheme Name,Net Asset Value,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Date,Repurchase Price,Sale Price
3111,102547,Franklin India Life Stage Fund of Funds - The 50s Plus Flo (Gro),14.7201,INF090I01718,,21-Jan-2009,14.7201,14.7937
3112,102113,Franklin India Life Stage Fund of Funds - 50's Plus Plan - IDCW ,10.0141,INF090I01668,,21-Jan-2009,10.0141,10.0141
3113,102114,Franklin INDIA LIFE STAGE FUND OF FUNDS - THE 50+S PLAN (G),13.1801,INF090I01684,,21-Jan-2009,13.1801,13.1801
3115,102137,ICICI Prudential Asset Allocator Fund (FOF) - Growth,15.3134,INF109K01837,,21-Jan-2009,15.3134,15.4665
3116,102138,ICICI Prudential Asset Allocator Fund (FOF) - IDCW,15.3134,INF109K01FJ9,INF109K01845,21-Jan-2009,15.3134,15.4665
3117,102141,ICICI Prudential Debt Management Fund (FOF) - Growth,13.8196,INF109K01878,,21-Jan-2009,13.8196,13.8196
3118,102143,ICICI Prudential Debt Management Fund (FOF ) - IDCW,13.8196,INF109K01FS0,INF109K01886,21-Jan-2009,13.8196,13.8196
3119,102139,ICICI Prudential Income Optimizer Fund (FOF) - Growth,13.1248,INF109K01811,,21-Jan-2009,13.1248,13.1248
3120,102140,ICICI Prudential Income Optimizer Fund (FOF) - IDCW,13.1248,INF109K01EB9,INF109K01829,21-Jan-2009,13.1248,13.1248
3121,102134,ICICI Prudential Passive Strategy Fund (FOF) - IDCW,16.4463,INF109K01DW7,INF109K01803,21-Jan-2009,16.4463,16.693
3122,102133,ICICI Prudential Passive Strategy Fund (FOF) - Growth,16.4463,INF109K01795,,21-Jan-2009,16.4463,16.693
3123,102135,ICICI Prudential Thematic Advantage Fund (FOF) - Growth,17.5066,INF109K01852,,21-Jan-2009,17.5066,17.813
3124,102136,ICICI Prudential Thematic Advantage Fund (FOF) - IDCW,17.5066,INF109K01FR2,INF109K01860,21-Jan-2009,17.5066,17.813
3126,108547,IDFC All Seasons Bond Fund - Regular Plan - Annual IDCW,12.1085,INF194K01SG0,INF194K01SF2,21-Jan-2009,12.1085,12.1085
3127,108545,IDFC All Seasons Bond Fund - Regular Plan - Growth,14.6721,INF194K01SE5,,21-Jan-2009,14.6721,14.6721
3128,108546,IDFC All Seasons Bond Fund - Regular Plan - Half Yearly IDCW,11.9425,INF194K01SI6,INF194K01SH8,21-Jan-2009,11.9425,11.9425
3129,108544,IDFC All Seasons Bond Fund - Regular Plan - Quarterly IDCW,11.677,INF194K01SK2,INF194K01SJ4,21-Jan-2009,11.677,11.677
3131,102574,Kotak Multi Asset Allocator Fund of Fund - Dynamic - Growth,17.514,INF174K01468,,21-Jan-2009,17.514,17.908
3132,102573,Kotak Multi Asset Allocator Fund of Fund - Dynamic - Payout of Income Distribution cum capital withdrawal option,17.514,INF174K01484,INF174K01476,21-Jan-2009,17.514,17.908
3135,103166,Aditya Birla Sun Life Flexi Cap Fund - Growth - Regular Plan,120.19,INF209K01AJ8,,21-Jan-2009,118.99,122.89
3136,103165,Aditya Birla Sun Life Flexi Cap Fund -Regular - IDCW,38.73,INF209K01AQ3,INF209K01DT1,21-Jan-2009,38.34,39.6
3138,101924,Canara Robeco Equity Diversified-Bonus Option,12.1,INF760K01043,,21-Jan-2009,12.1,12.37
3139,101922,CANARA ROBECO FLEXICAP FUND - REGULAR PLAN - GROWTH OPTION,22.35,INF760K01019,,21-Jan-2009,22.35,22.85
3140,101923,CANARA ROBECO FLEXICAP FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),12.1,INF760K01027,INF760K01035,21-Jan-2009,12.1,12.37
3142,105875,DSP Flexi Cap Fund - Regular Plan - Growth,7.396,INF740K01037,,21-Jan-2009,7.322,7.562
3143,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,28.278,INF740K01011,INF740K01029,21-Jan-2009,27.995,28.914
3145,100520,Franklin India Flexi Cap Fund - Growth,103.5163,INF090I01239,,21-Jan-2009,102.9987,105.8454
3146,100519,Franklin India Flexi Cap Fund - IDCW ,19.8015,INF090I01213,INF090I01221,21-Jan-2009,19.7025,20.247
3148,101762,HDFC Flexi Cap Fund - Growth Plan,102.011,INF179K01608,,21-Jan-2009,102.011,104.306
3149,101763,HDFC Flexi Cap Fund - IDCW Plan,23.532,INF179K01582,INF179K01590,21-Jan-2009,23.532,24.061
3151,102252,HSBC Flexi Cap Fund - Growth,18.9967,INF336L01AF5,,21-Jan-2009,18.8067,19.4241
3152,102251,HSBC Flexi Cap Fund - IDCW,10.0641,INF336L01AE8,INF336L01AD0,21-Jan-2009,9.9635,10.2905
3154,108594,IDFC Flexi Cap Fund - Regular Plan - Growth,12.0516,INF194K01391,,21-Jan-2009,12.0516,12.3228
